vendor,quote_number,total2,requisition_number,requisition_date,po_number,po_date,VENDOR INVOICE REQUESTED DATE,RECEIVED INVOICE DATE,invoice_number,invoice_date,received_date,sent_to_ap_date,notes,status,URL
FRANKLIN CLEANING EQUIPMENT,66517,"$2,454.51",FPO0084765,10/2/2024,728046101,10/4/2024,10/9/2024,,,,,,"Cancelled PO, Mismatched invoice sent by vendor",Cancelled,FPO0084765 | Facilities Requisition | ServiceNow (service-now.com)
MAJOR MEDICAL HOSPITAL SVCS,,"$1,625.00 ",FPO0087243,11/8/2024,728046677,11/12/2024,,11/7/2024,41919,11/7/2024,11/12/2024,,Rejected being cancelled to request a new PO,Rejected,FPO0087243 | Facilities Requisition | ServiceNow (service-now.com)
OLIVER FIRE PROTECTION & SECUR,16437,"$1,445.00",FPO0085760,10/17/2024,728046362,10/22/2024,10/22/2024,,,,,,Fire Alarm repairs : Horn strobes - Ethan- Canceled New REQ FPO0083522,No Enty,https://phsi.service-now.com/now/nav/ui/classic/params/target/x_nuvo_eam_facilities_purchase_order.do%3Fsys_id%3D43cbf3213b9552143008ca8c24e45adf%26sysparm_view%3DAssetUser%26sysparm_domain%3Dnull%26sysparm_domain_scope%3Dnull
DC group,Quote Number # 0000809229,"$45,979.12",FPO0086870,11/4/2024,1724008 CIP,11/12/2024,11/12/2024,,,,,,,PO,FPO0086870 | Facilities Requisition | ServiceNow (service-now.com)
ELECTRONIC SECURITY SOLUTIONS,Proposal #1493123591,$780.00,FPO0084175,9/24/2024,728046008,9/26/2024,10/3/2024,,,,,,,PO,FPO0084175 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,Quote #280,"$4,095.00",FPO0084124,9/23/2024,728045948,9/23/2024,10/8/2024,,,,,,,PO,FPO0084124 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,Quote #278,"$1,412.10",FPO0084128,9/23/2024,728046005,9/26/2024,10/8/2024,,,,,,,PO,FPO0084128 | Facilities Requisition | ServiceNow (service-now.com)
FLOW DRAIN SERVICES,Quote #285,"$3,140.10",FPO0086123,10/23/2024,728046436,10/25/2024,10/29/2024,,,,,,,PO,FPO0086123 | Facilities Requisition | ServiceNow (service-now.com)
FOLLETT PRODUCTS,Quote #004148460,$375.00,FPO0087068,11/6/2024,728046581,11/6/2024,11/7/2024,,,,,,,PO,FPO0087068 | Facilities Requisition | ServiceNow (service-now.com)
FRANKLIN CLEANING EQUIPMENT,67176,"$4,861.00",FPO0084800,10/3/2024,728046196,10/9/2024,10/9/2024,,,,,,,PO,FPO0084800 | Facilities Requisition | ServiceNow (service-now.com)
