name,phone,email,service,contact
DELVAL EQUIPMENT CORP,484-571-7238,wayne@delval.com,Boiler repairs,Wayne Balkiewicz
AIR LINK INTERNATIONAL,800-388-8237,None,maintenance tube system ER -> lab,None
Aire Master,610-346-7949,philadelphia@airmaster.com,scent marketing and odor control,None
ALCO SALES & SERVICE CO,800-323-4282,orders@alcosales.com;info@alcosales.com;gingerb@alcosales.com,"bed parts , medical","call the number to ask for a quote - user ACC#497176, invoices from gingerb@alcosales.com;ar@alcosales.com"
ALLEGION ACCESS TECHNOLOGIES,1-800-7ACCESS,None,Doors,None
ARTIC ICE & CHEMICAL INC,215-331-1700,joyce@articicechem.com,Salt softner,Salt softner
ATIS ELEVATOR INSPECTIONS,866-213-5382,None,ELEVATOR INSPECTIONS,ELEVATOR INSPECTIONS
BIG BOYS CLEANING SERVICE,"267-241-7270,Patrick 484-644-8690",patrickwilkerson2@aol.com,Daily Cleaning Services (Andorra Shopping Center),None
BLEJWAS ASSOCIATES INC,908-253-8822,matt@blejwas.com,ice machine cleaning,Matthew Van Wyck
C 3 TECHNOLOGIES LLC,(732) 348-8570,info@c-3technologies.com,Tank inspection,None
CENTIMARK CORPORATION,None,610-994-1800,Roofing,Roofing
CHADWICK SERVICE CO,215-245-8200,bcarnavil@chadwickservice.com;smoore@chadwickservice.com,None,Barbara Carnavil
CHARLES CROSS ARCHITECTURE PC,610-293-1990,None,Drawings,None
CLARK SERVICES GROUP LLC,800-833-1367,cara@clarkservices.group,Kitchen hoods cleaning,email Cara Rubino
CLEAN HARBORS ENV SERVICES,(856) 467-3102,None,"Packing, transport and disposal of waste.",None
CM3 BUILDING SOLUTIONS INC,856-495-1897,jeffsafirsteim@cm3inc.com,Access control reader,Jeffery Safirstein
CREST HEALTHCARE SUPPLY,"800-328-8908, 320-275-3382",customerservice@cresthealthcare.com;dadickes@cresthealthcare.com,12 call bells,None
CURBELL MEDICAL PRODUCTS INC,866-548-1013 | 716-667-3377 x7264,APlecas@curbellmedical.com,callbells,Amy Plecas
DARREN DANILOWICZ REFRIGERATIO,None,None,REFRIGERATION Ice machines,No longer
DC group,(612) 287-0707,guy.reeb@dc-group.com;guy.reeb@DC-Group.com>,batterys,Guy Reeb & Meg Jaskowiak
DYNAMIC BALANCING CO INC,610-960-0007;610-337-2757,rick@dynbalco.com;dynamicjeff19@gmail.com;airtemp19@gmail.com,Air Balancing,None
ELECTRONIC SECURITY SOLUTIONS,(215) 277-5248,"ESSAR@sciensbuildingsolutions.com,mdirenzo@sciensbuildingsolutions.com","Fire panels only ESS, Mark DiRenzo service manager",ESS
ELLIOTT LEWIS,484-680-9406,bhaley@elliottlewis.com;dstrobel@elliottlewis.com;mhenry@elliottlewis.com;cmasella@elliottlewis.com,HVAC agreement,"Jennifer Coble, Christine Masella"
ENVIRONMENTAL HEALTH INVESTIGA,973-729-5649,tbrucato@ehi-inc.com,mold test,Tracy Lynn Brucato
FACILICARE SOLUTIONS,856-231-8998,brianm@facilicaresolutions.com,Power washing,Brian McCullough
FLOW DRAIN SERVICES,215-391-6708,flowdrainservices@gmail.com,drini Plumbing,Stephen Martino
FRAMACA COMPLETE HOME IMPROVE,973-768-9746,francissonthehouse@hotmail.com,Construction,Francisco
FRANKLIN CLEANING EQUIPMENT,610-825-7020,nancy@franklincleaningequipment.com;drose@franklincleaningequipment.com,HK equipment repairs,"Nancy Good,David Rose"
FSI INDUSTRIES,267-303-5947,maria@fsiindustries.com;sabrina@fsiindustries.com;mike@fsiindustries.com,Filters Services,None
GENSERVE LLC,856-324-0459,sarcher@genserveinc.com,Generators,Sales rep JOSEPH VOIGT; WILLIAM FYLER
GP ENERGY PRODUCTS LLC,None,fstinger@gpenergyproducts.com,boiler parts,None
Grainger,1-800-Grainger,None,supplies and parts,None
GTO GREASE TRAP SERVICES,mmackenzie@termac.com,mmackenzie@termac.com,grease trap,None
HD SUPPLY,800-431-3000,None,supplies,AC#1174101
JAMES DOORCHECK,215-624-2500,vmazanovych@jamesdoorcheck.com;svoce@jamesdoorcheck.com;cgannon@jamesdoorcheck.com,Doors and parts,sales rep GEORGE WOLF
KB LIGHTING MFG CO INC,215-953-6663,danielskblight@gmail.com,lighting,Mike Daniels
KELLY SYSTEMS INC,(312) 733-3224 x 236,adam@kellytubesystems.com,A7433 Carriers Tube - ER tube,Adam Zaffaroni
KINGKINER TREE SERVICE LLC,215-508-7553,elmer@kingkinertreeservice.com;infor@kinginertreeservice.com,tree removal,None
KLENZOID INC,800-825-9495,Steve_Handwerk@klenzoidinc.com,Water treatment,Steve Handwerk 267-887-2191
LABOV SUPPLY CO INC,215-482-3047,brian@thelabovco.com,plumbing supplies,None
LIMBACH COMPANY LLC,614-607-8014,lars.hagner@limbachinc.com,Plumbing,Plumbing
LOCKATONG ENGINEERING INC,609-397-4106,BG@lockatong.com,ENGINEERING,Barbara Giordano
MADDEN ELECTRIC ASSOC INC,610-284-3500 ; 610-587-2601,mkowal@maddenelectrical.com;JBoland@maddenelectrical.com,electric,Contact James
MAJOR MEDICAL HOSPITAL SVCS,856-768-1300,MDeGardnuer@majormedicalinc.com,medical gas,medical gas- Mary Ellen DeGardnuer Ext. 100
MARK COSTELLO CO,310-637-1851,yvonne@mark-costello.com,parts,None
MEDLINE INDUSTRIES INC DALLAS,800-633-5463,RWISNIEWSKI@MEDLINE.COM,Medical Parts,None
MELADY LANDSCAPING,267-836-2102,office@meladylandscaping.com,Landscaping,None
MMSR LLC,267-249-9123,office@meladylandscaping.com,Snow removal,Snow
OLIVER FIRE PROTECTION & SECUR,610-277-1331,jmackley@oliverfps.com;vrobbins@oliverfps.com;swei@OliverFPS.com,Fire,"Pete 215-370-5309,Joseph : (610) 277-1331 ext. 336 | C: (302) 650-0770"
PURE WATER TECHNOLOGY OF CENTE,717-285-5980,dwengiel@purewaterpa.com;ckibler@purewaterpa.com;customerservice@purewaterpa.com,purification rental,None
QUIP LABORATORIES,302-761-2600,AMANDA@QUIPLABS.COM,DISINFECTANT,None
RAMM INC,610-825-8560,anniet@ramm-inc.com;jferguson@ramm-inc.com;service@ramm-inc.com,Mechanical,Boilers and HVAC
SECURITAS TECHNOLOGY CORPORATE,"(302) 218-6293,302.218.6307",scott.silver@securitases.com;vincent.anzideo@securitases.com,Call Bell repairs,"Scott Silver,Vincent Anzideo"
SHERWIN WILLIAMS CO INC,610-828-5747,sw705067@sherwin.com; Benjamin.t.kesseler@sherwin.com; peter.j.ferro@sherwin.com,Paint supplies/Blinds,"Ebony Jeter, Brian Kessler, Peter Ferro (Main Contact)"
SIEMENS BUILDING TECHNOLOG,None,anusha-nawaz.khan@siemens.com,HVAC,Account #0030097204
STERICYCLE INC 9001590,866-338-5120,Customer-relations@Stericycle.com,None,Customer#3001032781
T&N VAN SERVICE,856-802-2880 ext 254,brennanr@tnvan.com;smithm@tnvan.com,Moving company,Rosemarie Brennan;Michael Smith
